Day,Number of animals,Number of plants,Number of empty squares,Most popular genome,Average animal energy,Average animal life span
1,22,33,51,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",10.27,0.0
2,26,35,51,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",8.5,0.0
3,28,36,45,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",7.54,0.0
4,29,39,40,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",6.83,4.0
5,24,42,40,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",7.92,4.0
6,24,42,38,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",8.38,4.0
7,23,41,40,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",8.96,4.0
8,25,40,45,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",8.52,5.0
9,24,42,40,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",8.08,5.44
10,24,40,41,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",8.63,5.44
11,24,43,37,"[7, 6, 3, 3, 3, 6, 4, 5, 0, 2]",7.92,5.3
