Day,Number of animals,Number of plants,Number of empty squares,Most popular genome,Average animal energy,Average animal life span
1,11,13,79,"[0, 0, 6, 3, 7]",10.27,0.0
2,12,14,78,"[0, 0, 6, 3, 7]",9.42,0.0
3,12,15,74,"[0, 0, 6, 3, 7]",9.42,0.0
4,12,18,72,"[0, 0, 6, 3, 7]",8.75,0.0
5,12,20,69,"[0, 0, 6, 3, 7]",8.42,0.0
6,12,23,67,"[0, 0, 6, 3, 7]",7.75,0.0
7,12,25,63,"[0, 0, 6, 3, 7]",7.42,0.0
8,13,26,64,"[0, 0, 6, 3, 7]",6.77,8.0
